wave_number,items,patial,max_patial,date_start,date_endzone,mhe,wave_type
77,1,10240,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
78,2,400,3000,03/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
79,1,10240,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
80,3,480,3000,03/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
81,1,13280,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
82,1,13280,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
83,1,8800,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
84,5,1970,3000,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
85,5,385,3000,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
86,2,80,4400,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
87,11,440,4400,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
88,38,1520,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
89,16,640,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
90,19,760,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
91,18,550,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
92,25,575,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
93,28,820,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
94,19,365,4400,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
95,85,3060,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
96,105,4200,4400,03/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
97,81,3175,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
98,100,3920,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
99,47,1780,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
100,12,450,4400,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
101,3,150,3000,04/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
102,24,1285,3000,09/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
103,43,2350,3000,04/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
104,9,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
105,8,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
106,8,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
107,7,5760,5760,01/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
108,12,5760,5760,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
109,9,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
110,8,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
111,1,8800,3000,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
112,5,2640,3000,03/10/2019,07/10/2019,NZONE04,PalletJack,NationalCase
113,7,5760,5760,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
114,10,5760,5760,10/10/2019,10/10/2019,NZONE04,PalletJack,NationalCase
115,7,5760,5760,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
116,110,4400,4400,09/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
117,110,4400,4400,11/10/2019,11/10/2019,NZONE04,PalletJack,NationalCase
118,31,2960,3000,03/10/2019,09/10/2019,NZONE04,PalletJack,NationalCase
119,32,2945,3000,04/10/2019,08/10/2019,NZONE04,PalletJack,NationalCase
120,18,720,4400,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
121,3,2860,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
122,2,1915,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
123,1,3150,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
124,1,1725,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
125,1,1725,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
126,1,1700,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
127,2,2310,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
128,4,2915,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
129,3,2240,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
130,6,2985,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
131,5,2720,3000,02/10/2019,02/10/2019,NZONE04,PalletJack,NationalCase
132,2,1960,3000,02/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
133,2,1950,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
134,1,2650,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
135,2,2405,3000,04/10/2019,14/10/2019,NZONE04,PalletJack,NationalCase
